artist,song,album,genre,BPM,speed,mood,tags,quotes
Flavour,Ashawo,,Naija Hip-Hop,,,,,
Fuse ODG; Wyclef Jean,Antenna,,Naija Hip-Hop,128.08,,,,
Gramatik,In My City,,Instrumentals,87.8,slow,,,
Gramatik,Afternoon Soul,,Instrumentals,92,medium,,sunny day; relax; chillax; chill,
Gyptian,Hold Yuh,,Naija Hip-Hop,,,,,
Hagman,Focus,,Naija Hip-Hop,,,,,
Harrysong,Arabanko,,Naija Hip-Hop,134.08,fast,,,
Hezekiah Walker,Every Praise,,Gospel,106.42,,,,
Humblesmith,Osinachi,,Naija Hip-Hop,,,,,
Humblesmith; Davido,Osinachi (remix),,Naija Hip-Hop,,,,,
Iyanya,Gift,,Naija Hip-Hop,,,,,
Iyanya,Up 2 Sumthin',,Naija Hip-Hop,,,,,
Jeezy,Sing Along,,Hip-Hop,80,slow,,,"""My neck so icy.. my wrist so pricy..""; ""Half a mil a year and its all on wifey.."""
Joepraize,Miracle Papa,,Naija Gospel,130.01,,,,
Jonathon Nelson,I Believe (Island Medley),,Gospel,101.93,,,,
Kanye West,Can't Tell Me Nothing,,Hip-Hop,104.86,slow,,,
Kizz Daniel,Mama,,Naija Hip-Hop,,,,,
Kizz Daniel,Nesesari,,Naija Hip-Hop,,,,,
Kizz Daniel,One Ticket,,Naija Hip-Hop,,,,,
Kopoke,Kayana,,Naija Hip-Hop,,,,,
Labor Siffre,My Song,,Slow Jams,85.6,slow,,Kanye Sample,"""And I wonder, if you know what it means, to find your dream come true"""
Lagbaja,Konko Below,,Africa Old School,93.09,,,,
Lagbaja,Suru Lere,,Africa Old School,88.82,,,,
Lara George,Hallelujah,,Naija Gospel,119.92,,,,
Lil Kesh,Gbese,,Naija Hip-Hop,122.08,,,,
Lil Kesh,Ibile,,Naija Hip-Hop,124.88,,,,
Lil Kesh,No Fake Love,,Naija Hip-Hop,110.03,,,,
Lil Kesh,Shele Gan Gan,,Naija Hip-Hop,139.05,,,,
Lil Kesh; Davido; Olamide,Shoki (remix),,Naija Hip-Hop,,,,,
Lil Kesh; Patoranking,Is It Because I Love You,,Naija Hip-Hop,125.02,,,,
Logiq,Protection,,Naija Hip-Hop,,,,,
MAJOR,Why I Love You,,Naija Hip-Hop,165.22,,,,
Masterkraft,Hallelu,,Naija Hip-Hop,,,,,
Masterkraft; Rema,I Go Dance,,Naija Hip-Hop,,,,,"""Okay I go dance, shake my body"""
Mavins,Adaobi,,Naija Hip-Hop,,,,,
Mavins,Dorobucci,,Naija Hip-Hop,,,,,
Mavins; Don Jazzy; Reekado Banks; Di'ja; Korede Bello,Adaobi,,Naija Hip-Hop,127.95,,,,
Mayorkun,Mama,,Naija Hip-Hop,,,,,
Mayorkun,True ,,Naija Hip-Hop,,,,,
Mayorkun,Che Che,,Naija Hip-Hop,106.83,,,,
Mayorkun,Eleko,,Naija Hip-Hop,118.02,,,,
Mayorkun,Mama,,Naija Hip-Hop,105.22,,,,
Mayorkun,Sade,,Naija Hip-Hop,114,,,,
Mayorkun,Yawa,,Naija Hip-Hop,126.51,,,,
Mayorkun; Mr. Eazi,Love You Tire,,Naija Hip-Hop,108.95,,,,
MC Galaxy,Nek Unek,,Naija Hip-Hop,,,,,
MC Galaxy,Sekem,,Naija Hip-Hop,,,,,
MI; Flavour,Africa Rapper Number 1,,Naija Hip-Hop,,,,,
Mr. Eazi,Feelings,,Naija Hip-Hop,92.02,,,,
Mr. Eazi,Pour Me Water,,Naija Hip-Hop,,,,,
Mr. Eazi,Leg Over,,Naija Hip-Hop,,,,,
Mr. Eazi,Sample You,,Naija Hip-Hop,105.5,,,,
Mr. Eazi; DJ Cuppy,Fight,,Naija Hip-Hop,113.05,,,,
Mr. Eazi; Efya,Skin Tight,,Naija Hip-Hop,133.34,,,,
Mr. Eazi; Joey B,Hollup,,Naija Hip-Hop,107.18,,,,
Mr. Eazi; Juls; Pappy,Bankulize,,Naija Hip-Hop,131.73,,,,
Mr. Eazi; Mugeez,Business,,Naija Hip-Hop,134.04,,,,
Mr. Eazi; Phyno; Olamide,Life is Eazi,,Naija Hip-Hop,91.19,,,,
Mr. Eazi; Rita Ora; Wizkid,Skin Tight (Remix),,Naija Hip-Hop,133.05,,,,
Mr. Eazi; Tekno; BkChatLDN; Odunsi; Temi; Eddie Kadie; Oyemykke,Short Skirt,,Naija Hip-Hop,138.72,,,,
Mystro; Davido,Issa Vibe,,Naija Hip-Hop,,,,,
Naira Marley,Koleyewon,,Naija Hip-Hop,,,,,
Naira Marley,Tesumole,,Naija Hip-Hop,,,,,
Niniola,Sicker,,Naija Hip-Hop,,,,,
Olakira; Davido,In My Maserati,,Naija Hip-Hop,130,fast,baller,dance; party; rich; balling; living it up,
Olamide,Bobo,,Naija Hip-Hop,,,,,
Olamide,Don't Stop,,Naija Hip-Hop,,,,,
Olamide,Infinity,,Naija Hip-Hop,,,,,
Olamide,Motigbana,,Naija Hip-Hop,,,,,
Olamide,Wo,,Naija Hip-Hop,,,,,
Omah Lay,Godly,,Naija Hip-Hop,,,,,
Omo Akin,Borrow Borrow Make Me Shine,,Naija Hip-Hop,127.53,fast,,,
Oreke; Joeboy,E Kelly,,Naija Hip-Hop,,,,,
P-Square,Bunieya Enu,,Naija Hip-Hop,,,,,
P-Square,Do Me,,Naija Hip-Hop,91.5,medium,romantic,,"""Girl I love the way you dey do me""; ""Nah the way you dey do me"""
P-Square,Testimony,,Naija Hip-Hop,,,,,
P-Square; Waje,Jeje,,Naija Hip-Hop,132,fast,,party; dance,"""Mr. DJ put the song on replay"""
Patoranking,Abule,,Naija Hip-Hop,,,,,
Peruzzi,Southy Love,,Naija Hip-Hop,120,fast,love,dance; party; love-making,
Phyno,Connect,,Naija Hip-Hop,,,,,
Phyno,Fada Fada,,Naija Hip-Hop,,,,,
Phyno,SFSG,,Naija Hip-Hop,,,,,
Phyno; P-Square,Financial Woman,,Naija Hip-Hop,108.95,slow-medium,,,
Qdot; Olamide,Ibadan,,Naija Hip-Hop,,slow,,,
Reekado Banks,Like,,Naija Hip-Hop,,,,,
Reekado Banks,Chop Am,,Naija Hip-Hop,127.8,,,,
Rema,Dumebi,,Naija Hip-Hop,,,,,
Rema,Ginger Me,,Naija Hip-Hop,,,,,
Rema,Too Correct,,Naija Hip-Hop,,,,,
Rema,Woman,,Naija Hip-Hop,,,,,
Rexxie Mohbad,KPK,,Naija Hip-Hop,,,,,
Rotimo; Mystro,Surrenda,,Naija Hip-Hop,114,medium,romantic,dance; party,
Rudeboy,Fire Fire,,Naija Hip-Hop,,,,,
Ruger,Bounce,,Naija Hip-Hop,,,,,
Runtown,Walahi,,Naija Hip-Hop,,,,,
Runtown; Davido,Gallardo,,Naija Hip-Hop,,,,,
Samsong; Chioma,Jesus Odogwu,,Naija Gospel,95,,,,
Selebobo; Davido,Waka Waka,,Naija Hip-Hop,,,,,
Simi,Duduke,,Naija Hip-Hop,,,,,
Skales,Shake Body,,Naija Hip-Hop,130.85,,,,
Skiibii,Are You Vhere,,Naija Hip-Hop,,,,,
Sol Rising,"Love Come, Love Go",,Instrumentals,100,medium,,,"""Love comes.. love goes"""
SOLLO7,Still Marry You,,Naija Hip-Hop,143.86,,,,
Tarrus Riley,Royal,,Naija Hip-Hop,,,,,
Tekno,Dance,,Naija Hip-Hop,,,,,
Tekno,Enjoy,,Naija Hip-Hop,,,,,
Tekno,Pana,,Naija Hip-Hop,,,,,
Tekno,Puttin,,Naija Hip-Hop,,,,,
The O'Jays,Love Train,,Slow Jams,123,medium-fast,,,"""People all over the world, join in.."""
Third World,One to One,Sense of Purpose,Reggae,98.09,,,,
Third World,Sense of Purpose,Sense of Purpose,Reggae,123.18,,,,
Third World,World of Uncertainty,Sense of Purpose,Reggae,86.88,,,,
Third World,Rock Me,Sense of Purpose,Reggae,141.2,,,,
Third World,One More Time,Sense of Purpose,Reggae,115.38,,,,
Third World,One to One,Sense of Purpose,Reggae,102.11,,,,
Third World,Children of the World,Sense of Purpose,Reggae,116.36,,,,
Third World,Can't Get You (Outta My Mind),Sense of Purpose,Reggae,154.93,,,,
Third World,Girl from Hiroshima,Sense of Purpose,Reggae,143,,,,
Third World,Reggae Jam Boogie,Sense of Purpose,Reggae,125.35,,,,
Third World,How Can You,Sense of Purpose,Reggae,79.3,,,,
Third World,One Song (Nyabinghi),Sense of Purpose,Reggae,140.77,,,,
Third World,Always Around,,,94.2,slow,,,
Timaya,Balance,,Naija Hip-Hop,,,,,
Timaya,Bang Bang,,Naija Hip-Hop,,,,,
Timaya,Don Dada,,Naija Hip-Hop,,,,,
Timaya,Kom Kom,,Naija Hip-Hop,,,,,
Timaya,Sanko,,Naija Hip-Hop,,,,,
Timaya,Telli Person,,Naija Hip-Hop,,,,,
Timaya; Davido,Kekwanu,,Naija Hip-Hop,,,,,
Timaya; Don Jazzy,I Concur,,Naija Hip-Hop,,,,,
Timi Dakola,Amen,,Naija Gospel,,,,,
Tiwa Savage,All Over,,Naija Hip-Hop,,,,,
Tiwa Savage,Koroba,,Naija Hip-Hop,,,,,
Toofan,Gweta,,Naija Hip-Hop,134.86,,,,
Toyin Ores,Feel the Same,,Naija Hip-Hop,115,medium,sensual,dance; sensual; tease,
Travis Greene,Intentional,,Gospel,76.02,,,,
UB40,The Way You Do The Things You Do,,Reggae,78.6,medium,,,"""You got a smile so bright.. you know you could've been a candle""; ""As pretty as you are, you know you could've been a flower""; ""And if looks were a minute.. you know you could've been an hour.""; ""You make my life so rich, you know you could've been some money.""; ""And baby you're so sweet.. you know you could've been some honey."";""And baby you're so smmmarrrt, you know you could've been a schoolbook."""
Viktoh; Lil Kesh,Skibi Dat,,Naija Hip-Hop,110.95,,,,
Wale; Davido; Olamide,Fine Girl,,Naija Hip-Hop,,,,,
Walter Beasley,Gail's Groove (Remix),,Smooth Jazz,,,,,
Wizboyy,Salambala,,Naija Hip-Hop,,,,,
Wizkid,Celebrate,,Naija Hip-Hop,,,,,
Wizkid,Essence,,Naija Hip-Hop,,,,,
Wizkid,Joro,,Naija Hip-Hop,,,,,
Wizkid,Ojuelegba,,Naija Hip-Hop,,,,,
Wizkid,Pull Over,,Naija Hip-Hop,,,,,
Wizkid,Soco,,Naija Hip-Hop,,,,,
Wizkid; Burna Boy,Ginger,,Naija Hip-Hop,,,,,
Wizzboy; Ice Prince,Jacuzzi,,Naija Hip-Hop,122.98,fast,,,
Wizzboy; J Martins,Screen Saver (Remix),,Naija Hip-Hop,97,slow,,,"""Would you be my screen saver?""; ""I no go mind if i fit get your picture"""
