artist,song,album,genre,BPM,speed,mood,tags,quotes
Rema,Too Correct,,Naija Hip-Hop,,,,,
Rema,Woman,,Naija Hip-Hop,,,,,
Rexxie Mohbad,KPK,,Naija Hip-Hop,,,,,
Rotimo; Mystro,Surrenda,,Naija Hip-Hop,114,medium,romantic,dance; party,
Rudeboy,Fire Fire,,Naija Hip-Hop,,,,,
Ruger,Bounce,,Naija Hip-Hop,,,,,
Runtown,Walahi,,Naija Hip-Hop,,,,,
Runtown; Davido,Gallardo,,Naija Hip-Hop,,,,,
Selebobo; Davido,Waka Waka,,Naija Hip-Hop,,,,,
Simi,Duduke,,Naija Hip-Hop,,,,,
Skiibii,Are You Vhere,,Naija Hip-Hop,,,,,
Tarrus Riley,Royal,,Naija Hip-Hop,,,,,
Tekno,Dance,,Naija Hip-Hop,,,,,
Tekno,Enjoy,,Naija Hip-Hop,,,,,
Tekno,Pana,,Naija Hip-Hop,,,,,
Tekno,Puttin,,Naija Hip-Hop,,,,,
Timaya,Balance,,Naija Hip-Hop,,,,,
Timaya,Bang Bang,,Naija Hip-Hop,,,,,
Timaya,Don Dada,,Naija Hip-Hop,,,,,
Timaya,Kom Kom,,Naija Hip-Hop,,,,,
Timaya,Sanko,,Naija Hip-Hop,,,,,
Timaya,Telli Person,,Naija Hip-Hop,,,,,
Timaya; Davido,Kekwanu,,Naija Hip-Hop,,,,,
Timaya; Don Jazzy,I Concur,,Naija Hip-Hop,,,,,
Timi Dakola,Amen,,Naija Gospel,,,,,
Tiwa Savage,All Over,,Naija Hip-Hop,,,,,
Tiwa Savage,Koroba,,Naija Hip-Hop,,,,,
Toyin Ores,Feel the Same,,Naija Hip-Hop,115,medium,sensual,dance; sensual; tease,
Wale; Davido; Olamide,Fine Girl,,Naija Hip-Hop,,,,,
Wizboyy,Salambala,,Naija Hip-Hop,,,,,
Wizkid,Celebrate,,Naija Hip-Hop,,,,,
Wizkid,Essence,,Naija Hip-Hop,,,,,
Wizkid,Joro,,Naija Hip-Hop,,,,,
Wizkid,Ojuelegba,,Naija Hip-Hop,,,,,
Wizkid,Pull Over,,Naija Hip-Hop,,,,,
Wizkid,Soco,,Naija Hip-Hop,,,,,
Wizkid; Burna Boy,Ginger,,Naija Hip-Hop,,,,,
Davido; Reminisce,Daddy,,Naija Hip-Hop,120.1,medium-fast,,,"""Everything is nice, the party is banging"""
Burna Boy,Onyeka (Baby),,Naija Hip-Hop,,,,,"""I say my baby, my baby oo, osondi owendi oo"""
Drake; Lykke Li,Little Bit,,Hip-Hop,120.41,medium-fast,,,
Phyno; P-Square,Financial Woman,,Naija Hip-Hop,108.95,slow-medium,,,
Kanye West,Can't Tell Me Nothing,,Hip-Hop,104.86,slow,,,
Omo Akin,Borrow Borrow Make Me Shine,,Naija Hip-Hop,127.53,fast,,,
Danny Lerman,No Ordinary Love,,Smooth Jazz,111.52,,,instrumental,
Fela Kuti,Water No Get Enemy,,Naija Old School,91.1,,,,
Fela Kuti,Teacher Don't Teach Me Nonsense,,Naija Old School,108.65,,,,
Lara George,Hallelujah,,Naija Gospel,119.92,,,,
Harrysong,Arabanko,,Naija Hip-Hop,134.08,fast,,,
Hezekiah Walker,Every Praise,,Gospel,106.42,,,,
Wizzboy; Ice Prince,Jacuzzi,,Naija Hip-Hop,122.98,fast,,,
Jonathon Nelson,I Believe (Island Medley),,Gospel,101.93,,,,
Lagbaja,Konko Below,,Naija Old School,93.09,,,,
Lagbaja,Suru Lere,,Naija Old School,88.82,,,,
MAJOR,Why I Love You,,Naija Hip-Hop,165.22,,,,
Joepraize,Miracle Papa,,Naija Gospel,130.01,,,,
Samsong; Chioma,Jesus Odogwu,,Naija Gospel,95,,,,
SOLLO7,Still Marry You,,Naija Hip-Hop,143.86,,,,
Travis Greene,Intentional,,Gospel,76.02,,,,
Third World,One to One,Sense of Purpose,Reggae,98.09,,,,
Third World,Sense of Purpose,Sense of Purpose,Reggae,123.18,,,,
Third World,World of Uncertainty,Sense of Purpose,Reggae,86.88,,,,
Third World,Rock Me,Sense of Purpose,Reggae,141.2,,,,
Third World,One More Time,Sense of Purpose,Reggae,115.38,,,,
Third World,One to One,Sense of Purpose,Reggae,102.11,,,,
Third World,Children of the World,Sense of Purpose,Reggae,116.36,,,,
Third World,Can't Get You (Outta My Mind),Sense of Purpose,Reggae,154.93,,,,
Third World,Girl from Hiroshima,Sense of Purpose,Reggae,143,,,,
Third World,Reggae Jam Boogie,Sense of Purpose,Reggae,125.35,,,,
Third World,How Can You,Sense of Purpose,Reggae,79.3,,,,
Third World,One Song (Nyabinghi),Sense of Purpose,Reggae,140.77,,,,
Eleance Jazz,Ngalua Marthe,Melodies of the Republic of Congo,Africa Highlife,129.72,,,,
DMW; Davido; Mayorkun,Prayer,,,119.93,,,,
DMW; Ichaba; Dremo; Mayorkun,Back 2 Back,,,130.87,,,,
DMW; Davido; Mayorkun; Dremo; Peruzzi,Mind,,,114.26,,,,
Mayorkun,Che Che,,,106.83,,,,
Mayorkun,Eleko,,,118.02,,,,
Mayorkun,Mama,,,105.22,,,,
Mayorkun,Sade,,,114,,,,
Mayorkun,Yawa,,,126.51,,,,
Mayorkun; Mr. Eazi,Love You Tire,,,108.95,,,,
Mr. Eazi; Juls; Pappy,Bankulize,,,131.73,,,,
DJ Spinall; Mr. Eazi,Ohema,,,107.01,,,,
Eazzy; Mr. Eazi,Forever,,,99.07,,,,
Eugy; Mr. Eazi,Dance For Me,,,107.26,,,,
Mr. Eazi; Mugeez,Business,,,134.04,,,,
Mr. Eazi,Feelings,,,92.02,,,,
Mr. Eazi; DJ Cuppy,Fight,,,113.05,,,,
Mr. Eazi; Joey B,Hollup,,,107.18,,,,
Mr. Eazi,Pour Me Water,,,,,,,
Mr. Eazi; Tekno; BkChatLDN; Odunsi; Temi; Eddie Kadie; Oyemykke,Short Skirt,,,138.72,,,,
Mr. Eazi; Efya,Skin Tight,,,133.34,,,,
Mr. Eazi,Leg Over,,,,,,,
Mr. Eazi,Sample You,,,105.5,,,,
Mr. Eazi; Rita Ora; Wizkid,Skin Tight (Remix),,,133.05,,,,
Mr. Eazi; Phyno; Olamide,Life is Eazi,,,91.19,,,,
Reekado Banks,Chop Am,,,127.8,,,,
Skales,Shake Body,,,130.85,,,,
Toofan,Gweta,,,134.86,,,,
Brenda Fassie,Vulindlela,,,105.96,,,,
Fuse ODG; Wyclef Jean,Antenna,,,128.08,,,,
Mavins; Don Jazzy; Reekado Banks; Di'ja; Korede Bello,Adaobi,,,127.95,,,,
Lil Kesh,Gbese,,,122.08,,,,
Lil Kesh,Ibile,,,124.88,,,,
Lil Kesh; Patoranking,Is It Because I Love You,,,125.02,,,,
Lil Kesh,No Fake Love,,,110.03,,,,
Lil Kesh,Shele Gan Gan,,,139.05,,,,
Viktoh; Lil Kesh,Skibi Dat,,,110.95,,,,
Dr. Sid; Tiwa Savage,Oyari,,,109.59,,,,
D-Black; Sarkodie; Singlet,OMEGA,,,112.08,,,,"""Jehovah is so great""; ""Alpha is so great""; ""Omega is so great"""
